Index,Temps,Hexadecimal_sans_p,Hexadecimal
1,163766367,8D4402AEEA253864013C08,8D4402AEEA253864013C08C8F6C8
2,537727461,8D40780DF82300060049B8,8D40780DF82300060049B8CDB2C7
3,539807478,8D40780D990C9037580416,8D40780D990C903758041674FFDF
4,543276580,8D40780DEA466867C33C08,8D40780DEA466867C33C081F96B6
5,545164622,8D40780D58B991D47FF1B0,8D40780D58B991D47FF1B01DA70F
6,554484856,8D40780DE10D1000000000,8D40780DE10D10000000001E43A4
7,555324760,8D40780D990C9037500416,8D40780D990C903750041674FFDF
8,562160022,8D40780DEA466867C33C08,8D40780DEA466867C33C081F96B6
9,563960022,8D40780D58B981D633F16B,8D40780D58B981D633F16BFD6314
10,566875251,8D40780D990C9037300416,8D40780D990C903730041674FFDF
11,567795230,8D40780D58B981D68BF15D,8D40780D58B981D68BF15DFD6314
12,573985310,8D40780D990C9037300415,8D40780D990C903730041574FFDF
13,576025315,8D40780D58B981D74FF13D,8D40780D58B981D74FF13D02971D
14,622912852,8D40780D990C9137380416,8D40780D990C91373804167AF25F
15,649715319,8D40780D990C9137180416,8D40780D990C91371804167AF25F
16,650795359,8D40780DF82300060049B8,8D40780DF82300060049B8CDB2C7
17,653184223,8D40780D990C9137180415,8D40780D990C91371804157AF25F
18,654304281,8D40780D58B981DE85F015,8D40780D58B981DE85F015FD1378
19,656024331,8D40780DEA466867C33C08,8D40780DEA466867C33C081F96B6
20,656591997,8D40780D990C9137180415,8D40780D990C91371804157AF25F
21,661017529,8D40780D990C9137180416,8D40780D990C91371804167AF25F
22,661577543,8D40780D58B9855FBFF05B,8D40780D58B9855FBFF05B3DD7B1
23,664759636,8D40780D990C9137180415,8D40780D990C91371804157AF25F
24,664839641,8D40780D58B981DF7DEFED,8D40780D58B981DF7DEFED02E771
25,665159675,8D40780DEA466867C33C08,8D40780DEA466867C33C081F96B6
26,667959721,8D40780DE10D1000000000,8D40780DE10D10000000001E43A4
27,668600065,8D40780D58B981DFD7EFDF,8D40780D58B981DFD7EFDF02E771
